name,price,rating,ram,display,camera,battery,processor
"IQOO Neo 10R 5G (Raging Blue, 128 GB)","₹23,875",4.4,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6400 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹35,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,Exynos 2400e Processor
"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)","₹41,999",4.5,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,Exynos 2400e Processor
"Nothing Phone (3a) Pro (Grey, 256 GB)","₹33,999",4.5,12 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera,5000 mAh Battery,7s Gen3 Processor
"Motorola Edge 50 Neo (PANTONE Nautical Blue, 256 GB)","₹19,999",4.4,8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Super HD Display,50MP + 13MP + 10MP | 32MP Front Camera,4310 mAh Battery,Dimensity 7300 Processor
"Samsung Galaxy S24 5G (Amber Yellow, 256 GB)","₹52,999",4.6,8 GB RAM | 256 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,Exynos 2400 Processor
"realme 14x 5G (Jewel Red, 128 GB)","₹15,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme 14x 5G (Golden Glow, 128 GB)","₹14,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme 14x 5G (Crystal Black, 128 GB)","₹15,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme 14x 5G (Crystal Black, 128 GB)","₹14,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme 14x 5G (Golden Glow, 128 GB)","₹15,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"POCO X7 Pro 5G (Obsidian Black, 256 GB)","₹25,999",4.4,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP | 20MP Front Camera,6550 mAh Battery,Dimensity D8400 Ultra Processor
"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)","₹26,999",4.5,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 8350 Ultra Processor
"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)","₹12,999",4.3,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery,Dimensity 7300 Ultimate Processor
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)","₹12,999",4.5,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD Display,32MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor
"Google Pixel 9A (Porcelain, 256 GB)","₹49,999",4.4,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor
"vivo T4 Ultra 5G (Phoenix Gold, 256 GB)","₹39,999",4.5,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 8MP + 50MP Periscope | 32MP Front Camera,5500 mAh Battery,Dimensity 9300+ Processor
"vivo T4 Ultra 5G (Meteor Grey, 256 GB)","₹37,999",4.5,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 8MP + 50MP Periscope | 32MP Front Camera,5500 mAh Battery,Dimensity 9300+ Processor
"vivo T4 Ultra 5G (Phoenix Gold, 256 GB)","₹37,999",4.5,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 8MP + 50MP Periscope | 32MP Front Camera,5500 mAh Battery,Dimensity 9300+ Processor
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)","₹21,999",4.3,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 13MP + 10MP | 32MP Front Camera,5000 mAh Battery,Snapdragon 7 Gen 1 Accelerated Edition Processor
"Samsung Galaxy A55 5G (Awesome Navy, 128 GB)","₹26,805",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 12MP + 5MP | 32MP Front Camera,5000 mAh Battery,Samsung Exynos 1480 Processor
"realme C75 5G (Lily White, 128 GB)","₹12,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Samsung Galaxy S24 5G (Onyx Black, 256 GB)","₹52,999",4.6,8 GB RAM | 256 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,Exynos 2400 Processor
"Samsung Galaxy M35 5G (Thunder Grey, 256 GB)","₹21,489",4.3,8 GB RAM | 256 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,1 YEAR
"realme 14T 5G (Surf Green, 128 GB)","₹17,999",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"vivo T3 Pro 5G (Emerald Green, 256 GB)","₹24,999",4.5,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"realme P2 Pro 5G (Eagle Grey, 512 GB)","₹23,999",4.4,12 GB RAM | 512 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery,7s Gen2 Processor
"realme P3 Ultra 5G (Glowing Lunar White, 128 GB)","₹22,999",4.4,8 GB RAM | 128 GB ROM,17.35 cm (6.83 inch) Display,50MP + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 8350 Ultra Processor
"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)","₹24,999",4.4,8 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 8350 Ultra Processor
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)","₹12,999",4.5,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD Display,32MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB)","₹12,999",4.5,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD Display,32MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor
"IQOO Neo 10 (Titanium Chrome, 256 GB)","₹34,900",4.5,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display,50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera,7000 mAh Battery,Qualcomm Processor
"vivo T3 Pro 5G (Sandstone Orange, 128 GB)","₹22,999",4.5,8 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"vivo T3 Pro 5G (Emerald Green, 128 GB)","₹22,999",4.5,8 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"realme P2 Pro 5G (Parrot Green, 128 GB)","₹16,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery,7s Gen2 Processor
"vivo T4 Ultra 5G (Phoenix Gold, 512 GB)","₹41,999",4.5,12 GB RAM | 512 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 8MP + 50MP Periscope | 32MP Front Camera,5500 mAh Battery,Dimensity 9300+ Processor
"IQOO Z10 Lite 5G (Cyber Green, 256 GB)","₹13,980",4,8 GB RAM | 256 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"IQOO Z10X 5G (Titanium, 256 GB)","₹17,480",4.3,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Samsung Galaxy S24+ 5G (Onyx Black, 256 GB)","₹59,999",4.5,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Quad HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4900 mAh Battery,Exynos 2400 Processor
"realme GT 6 (Fluid Silver, 512 GB)","₹32,999",4.5,16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 8MP + 50MP | 32MP Front Camera,5500 mAh Battery,8s Gen 3 Mobile Platform Processor
"realme GT 6 (Fluid Silver, 256 GB)","₹28,999",4.5,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 8MP + 50MP | 32MP Front Camera,5500 mAh Battery,8s Gen 3 Mobile Platform Processor
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹11,300",4.2,6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"OnePlus 13R 5G (Nebula Noir, 512 GB)","₹44,961",4.5,16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus 13R 5G (Astral Trail, 512 GB)","₹44,997",4.5,16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus 13R 5g (Astral Trail, 256 GB)","₹38,887",4.5,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery,1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"realme 14T 5G (Surf Green, 256 GB)","₹19,999",4.3,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"vivo T3 Pro 5G (Sandstone Orange, 256 GB)","₹24,999",4.5,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor
"realme C75 5G (Purple Blossom, 128 GB)","₹12,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme C75 5G (Midnight Lily, 128 GB)","₹13,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme C75 5G (Lily White, 128 GB)","₹13,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Google Pixel 9 (Porcelain, 256 GB)","₹64,999",4.5,12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,4700 mAh Battery,Google Tensor G4 Processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,499",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"realme P2 Pro 5G (Parrot Green, 256 GB)","₹18,999",4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery,7s Gen2 Processor
"realme P2 Pro 5G (Eagle Grey, 128 GB)","₹16,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery,7s Gen2 Processor
"REDMI A4 (Sparkle Purple, 128 GB)","₹9,451",4.3,4 GB RAM | 128 GB ROM,17.48 cm (6.88 inch) Display,50MP Rear Camera,5160 mAh Battery,1 Year
"IQOO Neo 10 (Titanium Chrome, 256 GB)","₹37,262",4.5,12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display,50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera,7000 mAh Battery,Qualcomm Processor
"Samsung Galaxy S24 5G (Onyx Black, 128 GB)","₹46,999",4.6,8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,Exynos 2400 Processor
"OPPO Reno14 5G (Pearl White, 256 GB)","₹39,999",4.5,12 GB RAM | 256 GB ROM,16.74 cm (6.59 inch) Display,50MP + 8MP + 50MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor
"Google Pixel 9A (Obsidian, 256 GB)","₹49,999",4.4,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor
"IQOO Z10 5G (Glacier Silver, 128 GB)","₹22,000",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,7300 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OPPO F29 5G (Glacier Blue, 128 GB)","₹21,999",4.3,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6500 mAh Battery,6 Gen 1 Processor
"REDMI 14C 5G (Stardust Purple, 128 GB)","₹11,580",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,499",4.2,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"IQOO Z10 5G (Stellar Black / Black, 256 GB)","₹23,040",4.4,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,7300 mAh Battery,1 Year Warranty on Handset and 6 Months Warranty on Accessories
"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹14,999",4.2,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"POCO X7 Pro 5G (Yellow, 256 GB)","₹23,999",4.3,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP | 20MP Front Camera,6550 mAh Battery,Dimensity D8400 Ultra Processor
"POCO M7 Pro 5G (Lunar Dust, 256 GB)","₹14,999",4.2,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹21,999",4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,Samsung Exynos 1380 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","₹10,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)","₹10,499",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"REDMI 13C 5G (Startrail Green, 128 GB)","₹9,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"REDMI 13C 5G (Startrail Silver, 128 GB)","₹9,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"(Refurbished) POCO M6 5G (Polaris Green, 128 GB)","₹7,999",,Grade: Refurbished - Superb,Compatible Charger & Cable,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.74 inch HD+ Display,50MP Rear Camera
"REDMI 13C 5G (Starlight Black, 128 GB)","₹9,999",4.3,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"realme 12x 5G (Woodland Green, 128 GB)","₹11,499",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"(Refurbished) MOTOROLA G34 5G (Ocean Green, 128 GB)","₹9,099",,Grade: Refurbished - Superb,Compatible Charger & Cable,8 GB RAM | 128 GB ROM |,6.5 inch HD+ Display,50MP + 2MP Dual Rear Camera | 16MP Front Camera
"POCO M6 5G (Polaris Green, 128 GB)","₹10,499",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"realme 12x 5G (Coral Red, 128 GB)","₹11,499",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"realme 12x 5G (Twilight Purple, 128 GB)","₹11,499",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"POCO M6 5G (Galactic Black, 128 GB)","₹10,499",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"realme 12x 5G (Coral Red, 128 GB)","₹10,499",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹15,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"CMF by Nothing Phone 1 (Blue, 128 GB)","₹15,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"CMF by Nothing Phone 1 (Black, 128 GB)","₹15,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"REDMI 12 5G (Pastel Blue, 256 GB)",,4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor
"CMF by Nothing Phone 1 (Orange, 128 GB)","₹15,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"REDMI 13C 5G (Startrail Green, 128 GB)","₹11,299",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"realme 12x 5G (Twilight Purple, 128 GB)","₹10,499",4.1,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"(Refurbished) POCO F4 5G (Night Black, 128 GB)","₹14,999",,Grade: Refurbished - Superb,Compatible Charger & Cable,8 GB RAM | 128 GB ROM |,6.67 inch Full HD+ Display,"64MP + 8, 2MP Dual Rear Camera | 20MP Front Camera"
"REDMI 13C 5G (Starlight Black, 128 GB)","₹11,299",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"REDMI 14C 5G (Stargaze Black, 128 GB)","₹10,499",4.2,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"POCO M6 5G (Polaris Green, 256 GB)","₹13,990",4.2,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"realme 12x 5G (Woodland Green, 128 GB)","₹12,499",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"realme 12x 5G (Coral Red, 128 GB)","₹12,499",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"POCO X6 Neo 5G (Horizon Blue, 256 GB)","₹17,999",4.2,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 6080 Processor
"CMF by Nothing Phone 1 (Light Green, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"(Refurbished) POCO M6 Pro 5G (Power Black, 128 GB)","₹7,899",,Grade: Refurbished - Superb,Compatible Charger & Cable,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm Full HD+ Display,50MP + 2MP Dual Rear Camera | 8MP Front Camera
"CMF by Nothing Phone 1 (Blue, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"realme 12x 5G (Twilight Purple, 128 GB)","₹12,499",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"REDMI 13C 5G (Startrail Silver, 128 GB)","₹11,299",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Mediatek Dimensity 6100+ Processor
"OPPO Reno 12 5G (Astro Silver, 256 GB)","₹32,999",4.4,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery,Dimensity 7300 Energy Processor
"POCO X6 Neo 5G (Horizon Blue, 128 GB)","₹15,999",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 6080 Processor
"(Refurbished) POCO M6 Pro 5G (Forest Green, 128 GB)","₹7,899",,Grade: Refurbished - Superb,Compatible Charger & Cable,6 GB RAM | 128 GB ROM |,17.25 cm Full HD+ Display,50MP + 2MP Dual Rear Camera | 8MP Front Camera
"CMF by Nothing Phone 1 (Black, 128 GB)","₹17,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor
"POCO X6 Neo 5G (Astral Black, 128 GB)","₹13,990",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 6080 Processor
"POCO X6 5G (Snowstorm White, 256 GB)","₹18,899",4.3,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery,7s Gen 2 Mobile Platform 5G Processor
"(Refurbished) POCO X5 5G (Supernova Green, 128 GB)","₹10,999",,Grade: Refurbished - Superb,Compatible Charger & Cable,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,6.67 inch Full HD+ Display,"48MP + 8, 2MP Dual Rear Camera | 13MP Front Camera"
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹9,999",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
